date,experiment,cell,treatment,level_4,time,length,flow,stage,length_diff,neurite,speed
171103,6,0,paBlebb,1204,9.5,41.82068,0.62216,2.5,0,long,0.065490526
171103,6,0,paBlebb,1206,9.5,18.8034,1.76,2.5,-23.01728,short,0.185263158
171103,6,1,paBlebb,1200,9.5,76.70828,0,3,0,long,0
171103,6,1,paBlebb,1202,9.5,23.57212,2.24356,3,-53.13616,short,0.236164211
171103,6,2,paBlebb,1196,9.5,68.52868,1.39128,3,0,long,0.146450526
171103,6,2,paBlebb,1198,9.5,10.38004,2.95152,3,-58.14864,short,0.310686316
171103,6,3,paBlebb,1192,9.5,39.13272,3.21244,2.5,0,long,0.338151579
171103,6,3,paBlebb,1194,9.5,27.88236,2.48908,2.5,-11.25036,short,0.262008421
171103,6,4,paBlebb,1189,9.5,21.22692,1.39128,2,-3.99432,short,0.146450526
171103,6,5,paBlebb,1185,9.5,39.2106,0.88,2.5,0,long,0.092631579
171103,6,5,paBlebb,1187,9.5,30.32084,2.56564,2.5,-8.88976,short,0.270067368
171103,6,6,paBlebb,1181,9.5,47.75628,1.32,2.5,0,long,0.138947368
171103,6,6,paBlebb,1183,9.5,26.16944,0.98384,2.5,-21.58684,short,0.103562105
171103,6,7,paBlebb,1173,9.5,29.546,2.2,2.5,-12.5906,short,0.231578947
171103,6,7,paBlebb,1175,19,42.1366,0,2.5,0,long,0
171103,6,8,paBlebb,1169,9.5,43.15388,0,2.5,0,long,0
171103,6,8,paBlebb,1171,9.5,22.37048,4.48712,2.5,-20.7834,short,0.472328421
171103,6,9,paBlebb,1165,7.5,22.935,1.81412,2,-3.81524,short,0.241882667
171103,6,9,paBlebb,1167,8.5,26.75024,0.98384,2,0,short,0.115745882
171103,6,10,paBlebb,1161,9.5,45.45728,1.86692,2.5,0,long,0.196517895
171103,6,10,paBlebb,1163,19,23.68872,0.88,2.5,-21.76856,short,0.046315789
171103,6,11,paBlebb,1157,9.5,52.008,0.44,3,0,long,0.046315789
171103,6,11,paBlebb,1159,9.5,40.25076,1.81412,3,-11.75724,short,0.19096
171103,6,12,paBlebb,1484,9.5,21.00648,2.30208,2,0,short,0.242324211
171103,6,12,paBlebb,1486,9.5,14.16888,3.7202,2,-6.8376,short,0.3916
171103,6,13,paBlebb,1153,9.5,49.82912,0.98384,2.5,0,long,0.103562105
171103,6,13,paBlebb,1155,7,19.0234,2.24356,2.5,-30.80572,short,0.320508571
171103,7,0,paBlebb,1149,9.5,53.42656,0.44,3,0,long,0.046315789
171103,7,0,paBlebb,1151,9.5,24.18724,0.88,3,-29.23932,short,0.092631579
171103,7,1,paBlebb,1145,9.5,25.05844,1.58664,2.5,-11.3608,short,0.167014737
171103,7,1,paBlebb,1147,9.5,36.41924,0.62216,2.5,0,long,0.065490526
171103,7,2,paBlebb,1141,9.5,72.58856,0,3,0,long,0
171103,7,2,paBlebb,1143,9.5,21.65636,0.98384,3,-50.9322,short,0.103562105
171103,7,3,paBlebb,1137,9.5,27.67292,1.76,3,-42.20436,short,0.185263158
171103,7,3,paBlebb,1139,9.5,69.87728,1.39128,3,0,long,0.146450526
171103,7,4,paBlebb,1133,9.5,94.028,0.44,3,0,long,0.046315789
171103,7,4,paBlebb,1135,9.5,15.1866,0.62216,3,-78.8414,short,0.065490526
171103,7,5,paBlebb,1129,9.5,49.32972,0.62216,2.5,0,long,0.065490526
171103,7,5,paBlebb,1131,9.5,22.7238,1.39128,2.5,-26.60592,short,0.146450526
171103,7,6,paBlebb,1479,9.5,58.67092,1.30284,3,0,long,0.137141053
171103,7,6,paBlebb,1481,9.5,18.54292,2.33156,3,-40.128,short,0.245427368
171103,7,7,paBlebb,1125,9.5,48.55444,0.98384,2.5,0,long,0.103562105
171103,7,7,paBlebb,1127,19,16.02304,0.44,2.5,-32.5314,short,0.023157895
171103,7,9,paBlebb,1117,9.5,77.44396,1.32,3,0,long,0.138947368
171103,7,9,paBlebb,1119,19,11.59268,0,3,-65.85128,short,0
171103,7,10,paBlebb,1121,9.5,34.48192,2.24356,2.5,0,long,0.236164211
171103,7,10,paBlebb,1123,9.5,18.9618,1.81412,2.5,-15.52012,short,0.19096
171103,7,11,paBlebb,1113,9.5,49.57832,0.44,2.5,0,long,0.046315789
171103,7,11,paBlebb,1115,19,18.98864,0,2.5,-30.58968,short,0
171103,7,12,paBlebb,1109,9.5,33.51744,0.44,2.5,0,long,0.046315789
171103,7,12,paBlebb,1111,9.5,17.2238,1.39128,2.5,-16.29364,short,0.146450526
171103,7,13,paBlebb,1105,9.5,19.6988,1.39128,3,-53.053,short,0.146450526
171103,7,13,paBlebb,1107,9.5,72.7518,1.24432,3,0,long,0.130981053
171103,16,0,paBlebb,1101,9.5,24.189,2.48908,2,0,short,0.262008421
171103,16,0,paBlebb,1103,9.5,14.773,2.24356,2,-9.416,short,0.236164211
171103,16,1,paBlebb,1097,9.5,17.7254,1.58664,2,-6.9696,short,0.167014737
171103,16,1,paBlebb,1099,9.5,24.695,3.29868,2,0,short,0.347229474
171103,16,2,paBlebb,1093,9.5,22.90244,0.98384,2.5,-21.1882,short,0.103562105
171103,16,2,paBlebb,1095,19,44.09064,0,2.5,0,long,0
171103,16,3,paBlebb,1089,9.5,83.87764,0,3,0,long,0
171103,16,3,paBlebb,1091,9.5,19.5118,1.96768,3,-64.36584,short,0.207124211
171103,16,4,paBlebb,1085,9.5,16.73716,4.75948,2,0,short,0.500997895
171103,16,4,paBlebb,1087,9.5,13.15556,3.08,2,-3.5816,short,0.324210526
171103,16,5,paBlebb,1081,9.5,21.50456,1.39128,2,0,short,0.146450526
171103,16,5,paBlebb,1083,9.5,14.42848,0.62216,2,-7.07608,short,0.065490526
171103,16,6,paBlebb,1069,19,27.44588,0,3,-27.63112,short,0
171103,16,6,paBlebb,1071,19,55.077,0,3,0,long,0
171103,16,7,paBlebb,1077,19,50.91988,0,3,0,long,0
171103,16,7,paBlebb,1079,19,20.8538,0,3,-30.06608,short,0
171103,16,8,paBlebb,1073,9.5,12.47224,5.29848,2,-17.44688,short,0.557734737
171103,16,8,paBlebb,1075,19,29.91912,-0.7876,2,0,short,-0.041452632
171103,16,9,paBlebb,1498,9.5,32.67924,1.96284,2.5,-8.12988,short,0.206614737
